Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.96,-1.38,0.68,-2.91,0.29,-3.97,2.11,-1.14,1.73,-1.87,6.07,3.22,4.6,0.98,0.97,-3.21,7.69,3.99,6.33,3.03,4.08,0.92,2.88,-0.33
SOUTHERN EASTERN,4.1,0.27,1.12,-1.82,0.2,-4.04,2.7,-0.53,2.81,-0.6,6.28,3.15,6.76,2.49,1.05,-3.79,8.81,4.89,4.69,1.38,0.0,0.0,0.5,0.0
SHORE              01,3.32,-0.7,1.2,-2.25,0.11,-4.44,2.39,-0.95,2.47,-1.2,8.84,5.22,5.67,1.13,1.68,-3.04,8.29,4.3,6.46,3.03,6.36,3.19,2.38,-1.09
ASSATEAGUE               ,3.11,-0.98,1.47,-2.09,0.15,-4.47,2.81,-0.6,3.01,-0.86,8.21,4.64,4.53,-0.01,1.38,-3.61,9.27,5.54,6.9,3.26,6.21,2.91,2.46,-1.26
PRINCESS ANNE            ,2.76,-1.26,1.03,-2.38,0.35,-4.32,2.41,-0.83,2.25,-1.39,8.52,5.09,2.68,-1.8,1.0,-4.4,10.36,6.61,7.21,3.79,5.54,2.23,2.48,-0.93
SALISBURY                ,3.25,-0.75,1.1,-2.32,0.22,-4.26,2.48,-0.78,2.45,-1.17,7.58,4.2,4.85,0.54,1.22,-3.52,8.88,5.12,6.32,2.95,5.55,2.37,2.55,-0.85
SALISBURY FAA AP         ,3.77,-0.34,1.27,-2.08,0.08,-4.36,5.84,2.34,2.68,-1.45,12.97,9.5,4.69,0.47,1.98,-2.12,8.51,4.52,6.22,2.76,5.15,1.72,1.47,-2.2
SNOW HILL 4 N            ,4.18,0.44,1.29,-2.04,0.16,-3.91,3.34,0.01,2.54,-0.98,12.97,9.25,1.8,0.0,1.72,-2.65,10.8,0.0,7.07,3.93,4.53,0.0,1.81,-1.47
--DIVISIONAL DATA------->,3.98,0.0,1.28,-2.03,0.12,-4.17,4.59,1.2,2.61,-1.3,12.97,9.42,4.69,0.5,1.85,-2.41,8.51,4.69,6.65,3.41,5.15,1.86,1.64,-1.85
CENTRAL EASTERN,3.43,-0.56,1.73,-1.64,0.06,-4.57,3.51,0.02,1.87,-2.35,6.7,2.43,4.25,-0.23,1.14,-2.8,13.56,9.18,5.1,1.18,5.65,2.22,1.43,-1.97
SHORE              02,3.24,0.0,1.52,0.0,0.03,0.0,4.76,0.0,2.07,0.0,7.54,0.0,3.74,0.0,1.3,0.0,9.81,0.0,5.64,0.0,4.7,0.0,1.51,0.0
ROYAL OAK 2 SSW          ,3.34,-0.38,1.63,-1.39,0.05,-4.26,4.14,0.94,1.87,-2.27,7.12,3.34,4.0,-0.22,1.22,-2.91,13.56,9.39,5.1,1.62,5.65,2.38,1.43,-1.88
VIENNA                   ,3.48,0.01,2.64,-0.38,0.18,-3.75,3.27,0.27,1.6,-2.29,7.32,3.89,1.86,-1.99,1.45,-2.29,7.56,3.58,5.75,2.59,6.25,3.13,1.88,-1.47
--DIVISIONAL DATA------->,2.81,-0.62,1.82,-0.87,0.02,-3.85,3.87,0.54,2.12,-2.42,8.07,4.48,3.59,-0.5,0.52,-3.17,6.18,1.83,5.22,1.66,4.22,0.9,1.69,-1.61
LOWER SOUTHERN     03,3.57,0.09,2.04,-0.97,0.15,-3.98,3.57,0.03,2.0,-2.42,14.26,10.57,1.83,-2.43,1.18,-2.8,7.37,3.07,5.24,1.76,6.94,3.53,1.84,-1.57
MECHANICSVILLE 5 NE      ,3.54,0.09,2.12,-0.71,0.08,-3.87,2.56,-0.85,2.41,-2.28,9.31,5.58,4.48,0.3,0.95,-3.14,8.55,4.52,5.43,1.82,6.63,3.21,1.93,0.0
SOLOMONS                 ,2.95,-0.57,2.02,0.0,0.04,-4.13,4.23,0.62,2.06,-2.69,8.23,4.31,2.87,-1.15,0.23,-3.38,6.66,2.13,5.77,2.15,0.0,0.0,1.92,-1.74
--DIVISIONAL DATA------->,3.29,0.0,2.41,0.0,0.15,0.0,3.23,0.0,2.04,0.0,7.3,0.0,3.58,0.0,0.46,0.0,5.89,0.0,4.51,0.0,5.12,0.0,2.18,0.0
UPPER SOUTHERN     04,2.0,0.0,2.47,-0.37,0.08,-3.84,3.34,0.08,2.01,-2.28,13.01,9.38,3.9,-0.31,0.6,-3.3,6.79,2.71,5.06,1.63,5.56,2.24,0.66,0.0
BALTIMORE WASH INTL AP  R,3.29,0.0,2.69,0.0,0.14,0.0,3.01,0.0,3.08,0.0,12.28,0.0,4.78,0.0,1.02,0.0,7.53,0.0,4.7,0.0,5.66,0.0,1.51,0.0
BELTSVILLE               ,3.23,-0.26,2.02,-0.74,0.08,-3.82,3.5,0.22,1.52,-2.79,0.0,0.0,4.18,0.07,1.93,-1.97,10.08,6.08,5.06,1.4,6.53,3.28,1.49,-1.71
DALECARLIA RESERVOIR     ,3.32,-0.23,2.28,-0.64,0.11,-3.91,3.29,-0.05,2.1,-2.34,10.22,6.56,3.53,-0.61,1.01,-2.94,7.49,3.31,5.12,1.64,5.86,2.48,1.77,-1.62
GLENN DALE BELL STN      ,4.24,0.68,1.47,-1.56,0.35,-3.81,3.99,0.65,1.23,-2.86,11.66,7.4,2.3,0.0,0.44,-3.32,6.43,2.13,5.49,2.12,4.57,1.23,1.43,-2.26
LAUREL 3 W               ,4.24,0.59,1.47,-1.55,0.35,-3.77,3.99,0.6,1.23,-2.92,11.66,7.72,0.0,0.0,0.44,-3.42,6.43,2.15,5.49,2.12,4.57,1.3,1.43,-2.2
MD SCI CTR BALTIMORE    R,3.91,0.5,1.78,-0.82,0.15,-3.5,4.13,0.77,1.78,-2.63,12.85,8.82,9.13,4.92,2.14,-1.93,8.24,3.76,5.43,2.04,5.16,1.96,2.36,-1.05
NATIONAL ARBORETUM DC    ,4.12,0.17,2.56,-0.77,0.67,-3.65,3.36,-0.6,3.23,-1.91,9.36,4.75,0.0,0.0,1.3,-2.62,5.61,0.7,5.27,1.38,4.91,1.04,2.4,-1.04
OXON HILL                ,3.67,-0.31,2.0,-0.92,0.0,0.0,3.96,0.31,0.63,0.0,13.38,9.23,3.18,-1.02,0.51,-3.9,7.97,3.05,5.0,1.53,5.12,1.36,2.35,-1.54
UPPER MARLBORO 3 NNW     ,1.73,0.0,3.34,0.0,0.22,0.0,2.7,0.0,2.93,0.0,10.04,0.0,2.8,0.0,0.83,0.0,5.43,0.0,5.93,0.0,5.81,0.0,2.43,0.0
--DIVISIONAL DATA------->,3.32,0.0,2.74,0.0,0.37,0.0,3.34,0.0,2.37,0.0,9.16,0.0,4.94,0.0,0.32,0.0,6.62,0.0,5.41,0.0,7.26,0.0,2.1,0.0
NORTHERN EASTERN,4.01,0.0,2.24,0.0,0.38,0.0,2.56,0.0,3.39,0.0,7.65,0.0,2.74,0.0,1.28,0.0,6.44,0.0,5.18,0.0,4.51,0.0,2.32,0.0
SHORE              05,5.05,1.41,2.7,-0.2,0.44,-3.33,4.63,1.18,2.27,-2.01,5.86,2.24,3.42,-0.15,1.15,-2.56,5.39,1.25,4.54,1.1,5.3,1.69,2.4,-1.14
CHESTERTOWN              ,4.33,0.0,2.47,0.0,0.16,0.0,2.88,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
--DIVISIONAL DATA------->,3.1,0.13,2.46,-0.12,0.14,-3.29,3.72,0.5,1.82,-1.95,10.56,6.91,1.49,-2.08,0.66,-2.78,5.24,1.2,4.87,1.66,7.44,4.05,1.8,-1.35
NORTHERN CENTRAL   06,3.19,-0.15,1.35,-1.0172727272727276,0.08,-3.81,3.29,0.1,1.24,-3.14,13.3,4.584848484848485,2.17,-1.74,0.52,-3.2,5.61,1.52,4.79,1.43,5.2,1.76,1.67,-1.5
