Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.41,0.15,5.05,1.46,7.95,3.69,1.09,-2.16,2.06,-1.54,1.84,-1.01,0.0,-2.81,5.54,1.36,3.58,-0.12,4.44,1.14,0.79,-2.37,1.73,-1.48
SOUTHERN EASTERN,2.37,0.25,1.4,0.0,7.45,3.21,1.48,-1.75,2.65,-0.76,1.71,-1.42,1.46,-3.31,5.18,0.34,3.14,-0.78,6.64,3.33,1.6,-1.56,2.08,-1.06
SHORE              01,4.17,-0.56,3.58,0.13,6.61,2.06,1.33,-2.01,3.32,-0.35,2.51,-1.11,1.23,-3.69,6.3,1.58,3.26,-0.73,6.48,3.05,1.25,-1.92,2.63,-0.84
ASSATEAGUE               ,4.34,-0.01,3.58,0.02,6.61,1.99,1.33,-2.08,2.65,-1.22,1.54,-2.03,0.85,-3.2,5.01,0.02,4.99,1.26,6.34,2.7,1.23,-2.07,1.3,-2.42
PRINCESS ANNE            ,3.46,-0.53,5.12,1.71,6.93,2.26,1.27,-1.97,1.79,-1.85,2.27,-1.16,1.28,-3.1,3.52,-1.88,3.4,-0.35,5.21,1.79,1.0,-2.31,2.4,-1.01
SALISBURY                ,3.99,0.0,4.33,0.91,7.11,2.63,1.3,-1.96,2.49,-1.13,1.97,-1.41,1.21,4.53,5.11,0.37,3.67,-0.09,5.82,2.45,1.17,-2.01,2.03,-1.37
SALISBURY FAA AP         ,3.58,-0.4,2.95,0.0,5.88,1.44,1.62,-1.88,0.0,0.0,2.42,-1.05,8.75,0.0,4.55,0.45,4.69,0.7,7.62,4.16,1.82,-1.61,2.74,0.0
SNOW HILL 4 N            ,0.0,-1.49,0.98,0.0,0.0,0.0,0.0,0.0,3.45,-0.07,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
--DIVISIONAL DATA------->,3.58,0.0,0.0,0.0,5.88,1.59,1.62,-1.77,3.45,-0.46,2.42,-1.13,8.75,-2.69,4.55,0.29,4.69,0.87,7.62,4.38,1.82,-1.47,0.0,0.0
CENTRAL EASTERN,2.5,-0.97,4.27,0.9,4.91,0.28,1.84,-1.65,2.36,-1.86,1.46,-2.81,1.79,0.0,5.61,1.67,8.63,4.25,3.15,-0.77,2.13,-1.3,3.36,-0.04
SHORE              02,2.99,-1.23,3.43,0.0,5.16,0.0,1.97,0.0,2.68,0.0,1.87,0.0,2.61,-2.02,3.69,0.0,9.87,0.0,10.09,0.0,1.26,0.0,2.25,0.0
ROYAL OAK 2 SSW          ,2.75,-1.94,3.85,0.83,5.04,0.73,1.84,-1.36,2.36,-1.78,1.46,-2.32,2.2,0.51,4.65,0.52,8.63,4.46,6.62,3.14,2.13,-1.14,2.81,-0.5
VIENNA                   ,2.24,-1.63,4.15,1.13,5.53,1.6,2.2,-0.8,3.49,-0.4,1.55,-1.88,4.36,-0.01,4.74,1.0,8.26,4.28,2.95,-0.21,2.04,-1.08,1.96,-1.39
--DIVISIONAL DATA------->,1.49,-2.04,3.02,0.33,3.99,0.12,1.77,-1.56,2.93,-1.61,2.54,-1.05,4.08,2.14,6.65,2.96,4.09,-0.26,5.01,1.45,2.36,-0.96,1.56,-1.74
LOWER SOUTHERN     03,1.85,0.0,4.92,1.91,4.16,0.03,1.44,-2.1,3.35,-1.07,1.61,-2.08,6.4,-1.02,7.06,3.08,3.25,-1.05,6.27,2.79,5.01,1.6,2.22,-1.19
MECHANICSVILLE 5 NE      ,1.48,-1.11,3.74,0.0,4.78,0.61,2.07,-1.54,3.12,-1.63,3.42,-0.5,3.0,0.0,6.45,2.84,6.41,1.88,0.0,0.0,2.38,-1.6,1.92,-1.74
SOLOMONS                 ,2.05,0.0,3.59,0.0,4.92,0.0,2.68,0.0,2.45,0.0,0.92,0.0,6.09,0.0,4.41,0.0,8.18,0.0,2.78,0.0,1.78,0.0,1.8,0.0
--DIVISIONAL DATA------->,2.46,-1.84,3.62,0.78,3.67,-0.25,1.69,-1.57,2.62,-1.67,1.81,-1.82,3.46,0.0,6.13,2.23,2.77,-1.31,6.7,3.27,2.13,-1.19,1.74,-1.51
UPPER SOUTHERN     04,2.14,-1.63,3.56,0.0,4.11,0.0,2.25,0.0,2.77,0.0,2.73,0.0,5.64,-0.02,4.39,0.0,2.89,0.0,6.84,0.0,2.18,0.0,2.1,0.0
BALTIMORE WASH INTL AP  R,1.65,-0.36,3.31,0.55,4.82,0.92,1.65,-1.63,2.25,-2.06,2.11,-1.72,4.09,0.67,5.61,1.71,4.63,0.63,5.56,1.9,2.15,-1.1,2.08,-1.12
BELTSVILLE               ,1.92,-0.45,3.74,0.82,4.5,0.48,1.97,-1.37,2.87,-1.57,2.09,-1.57,4.81,2.7,5.68,1.73,5.06,0.88,5.16,1.68,2.5,-0.88,1.92,-1.47
DALECARLIA RSVR          ,3.2,-1.47,4.63,1.6,6.08,1.92,2.38,-0.96,1.8,-2.29,0.85,-3.41,6.64,2.59,5.2,1.44,6.14,1.84,7.61,0.0,2.32,-1.02,2.32,-1.37
LAUREL 3 W               ,3.2,-1.24,4.63,1.61,6.08,1.96,2.38,-1.01,1.8,-2.35,0.85,-3.09,6.64,1.2,5.2,1.34,6.14,1.86,0.0,0.0,2.32,-0.95,2.32,-1.31
MD SCI CTR BALTIMORE    R,1.94,0.13,2.94,0.34,5.61,1.96,3.05,-0.31,2.38,-2.03,1.44,-2.59,5.41,-0.69,5.44,1.37,5.25,0.77,8.3,4.91,1.66,-1.54,2.79,-0.62
NATL ARBORETUM DC        ,2.1,0.0,2.98,-0.2,3.78,-0.51,3.46,0.15,2.91,-1.73,1.9,-2.02,3.35,-1.58,6.65,3.29,5.6,1.71,3.96,0.35,2.35,-1.24,2.05,-1.46
