Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,1.49,-2.85,3.66,0.18,2.04,-2.22,5.81,2.56,6.66,3.06,5.05,2.2,2.71,-0.91,3.84,-0.34,4.83,1.13,0.0,-2.34,7.63,4.47,5.3,2.09
SOUTHERN EASTERN,1.29,-2.54,3.12,0.07,0.0,0.0,4.92,1.69,0.94,0.0,5.84,2.71,3.05,-1.22,1.38,0.0,0.0,0.0,0.0,-2.72,0.0,0.0,0.0,0.0
SHORE              01,1.6,-2.42,3.52,0.02,2.54,-2.01,5.27,1.93,5.57,1.9,3.85,0.23,3.13,-1.41,1.43,-3.29,4.06,0.07,1.09,-2.28,6.1,2.93,4.98,1.51
ASSATEAGUE               ,1.48,-2.61,3.58,-0.1,2.42,-2.2,4.81,1.4,6.02,2.15,4.45,0.88,3.97,-0.57,1.88,-3.11,4.36,0.63,0.92,-2.32,4.68,1.38,3.85,0.13
PRINCESS ANNE            ,1.65,-2.37,3.31,-0.04,2.4,-2.27,5.61,2.37,6.29,2.65,3.99,0.56,4.74,0.26,2.53,-2.87,4.99,1.24,1.14,-1.4,6.76,3.45,5.91,2.5
SALISBURY                ,1.5,-2.5,3.38,0.02,2.35,-2.13,5.28,2.02,6.14,2.52,4.64,1.26,3.52,-0.79,2.42,-2.32,4.56,0.8,1.05,-2.17,6.29,3.11,5.01,1.61
SALISBURY FAA AP         ,2.11,-2.0,3.37,-0.32,2.17,-2.27,3.6,0.1,7.95,3.82,4.61,1.14,2.01,-2.21,1.11,-2.99,3.36,-0.63,2.06,-1.72,5.42,1.99,5.34,1.67
SNOW HILL 4 N            ,1.6,0.0,3.01,-0.12,2.13,-1.94,4.24,0.91,3.11,0.0,3.86,0.14,4.8,0.94,1.32,-3.05,4.71,1.19,0.97,-2.75,6.04,2.92,4.76,1.48
--DIVISIONAL DATA------->,2.11,-1.87,3.19,-0.32,2.15,-2.14,3.92,0.53,7.95,4.04,4.24,0.69,3.41,-0.78,1.22,-3.04,4.04,0.22,1.52,0.0,5.73,2.44,5.05,1.56
CENTRAL EASTERN,1.27,-2.72,3.05,0.0,2.58,-2.05,3.92,0.43,10.68,6.46,6.12,1.85,1.89,-2.59,1.06,-2.88,4.14,-0.24,1.17,-2.39,2.86,-0.57,5.93,2.53
SHORE              02,1.44,0.0,2.91,0.03,2.36,0.0,3.33,0.0,6.5,0.0,7.58,0.0,5.21,0.0,1.55,0.0,3.4,0.0,1.0,-1.89,4.22,0.0,3.97,0.0
ROYAL OAK 2 SSW          ,1.27,-2.45,3.05,0.78,2.58,-1.73,3.92,0.72,10.68,6.54,6.85,3.07,1.89,-2.33,1.06,-3.07,4.14,-0.03,1.09,-1.81,3.54,0.27,5.93,2.62
VIENNA                   ,1.47,-2.0,3.8,0.0,2.37,-1.56,4.62,1.62,7.77,3.88,3.7,0.27,5.47,1.62,1.48,0.0,7.22,3.24,1.27,-1.29,2.61,-0.51,3.19,-0.16
--DIVISIONAL DATA------->,1.21,-2.22,2.6,1.71,2.26,-1.61,5.57,2.24,7.22,2.68,4.58,0.99,4.22,0.13,0.99,-2.7,4.19,-0.16,1.75,-1.59,1.38,-1.94,3.8,0.5
LOWER SOUTHERN     03,1.55,-1.93,4.72,0.0,4.09,-0.04,5.74,2.2,6.77,2.35,5.57,1.88,4.8,0.54,1.23,-2.75,8.39,4.09,2.19,0.0,1.85,-1.56,3.97,0.56
