Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MECHANICSVILLE 5 NE      ,1.44,-2.08,3.59,0.0,3.43,-0.74,5.41,1.8,7.68,2.93,3.47,-0.45,3.29,-0.73,2.08,-1.53,6.05,1.52,2.03,-1.88,2.74,-1.24,4.13,0.47
SOLOMONS                 ,1.44,0.0,4.18,1.44,2.31,0.0,3.35,0.0,5.36,0.0,3.27,0.0,5.13,0.0,2.24,0.0,7.15,0.0,1.03,0.0,2.59,0.0,3.24,0.0
--DIVISIONAL DATA------->,1.47,-2.1,4.28,0.0,2.48,-1.44,5.85,2.59,9.01,4.72,7.76,4.13,4.72,0.51,1.42,-2.48,4.84,0.76,1.55,-2.02,1.83,-1.49,3.51,0.26
UPPER SOUTHERN     04,1.77,0.0,4.61,0.94,2.58,0.0,6.99,0.0,10.91,0.0,9.28,0.0,5.42,0.0,2.33,0.0,5.19,0.0,1.57,-1.85,2.05,0.0,3.58,0.0
BALTIMORE WASH INTL AP  R,1.4,-2.09,3.7,1.3,2.24,-1.66,6.94,3.66,11.8,7.49,7.04,3.21,4.17,0.06,2.02,0.0,3.9,0.0,1.64,-1.89,3.16,-0.09,3.17,-0.03
BELTSVILLE               ,1.47,-2.08,4.22,0.58,2.72,-1.3,5.56,2.22,8.32,3.88,5.58,1.92,4.65,0.51,1.72,-2.23,6.15,1.97,1.63,-1.89,2.28,-1.1,3.57,0.18
DALECARLIA RSVR          ,2.14,-1.42,3.61,0.59,2.97,-1.19,2.88,-0.46,7.4,3.31,2.3,0.0,4.31,0.37,0.81,0.0,4.99,0.69,1.48,-1.33,3.77,0.43,5.5,1.81
LAUREL 3 W               ,2.14,-1.51,3.61,1.61,2.97,-1.15,2.88,-0.51,7.4,3.25,0.0,0.0,4.31,0.26,0.0,0.0,4.99,0.71,1.48,0.0,3.77,0.5,5.5,1.87
MD SCI CTR BALTIMORE    R,1.29,-2.12,4.21,1.26,2.34,-1.31,3.08,-0.28,4.82,0.41,4.0,0.0,4.99,0.78,1.13,-2.94,5.46,0.98,2.06,-0.41,2.76,-0.44,4.42,1.01
NATL ARBORETUM DC        ,0.94,-3.01,4.59,2.27,3.86,-0.46,6.53,2.57,6.48,1.34,3.01,-1.6,2.87,-0.95,3.07,-0.85,6.38,1.47,2.13,0.0,3.51,-0.36,0.0,0.0
OXON HILL                ,1.75,-2.23,5.19,0.0,3.51,-0.65,5.43,1.78,5.17,0.59,4.06,-0.09,4.96,0.76,1.65,-2.76,6.34,1.42,3.06,-1.8,1.55,-2.21,4.8,0.91
UPPER MARLBORO 3 NNW     ,1.47,0.0,4.39,-0.73,2.58,0.0,4.32,0.0,6.24,0.0,2.78,0.0,4.08,0.0,2.24,0.0,9.67,0.0,1.93,0.0,2.11,0.0,4.5,0.0
--DIVISIONAL DATA------->,0.68,0.0,2.24,0.0,3.28,-0.67,6.88,3.08,5.43,0.91,2.9,-1.45,2.77,-0.87,2.53,-1.07,7.3,3.04,1.68,-1.24,1.86,-1.94,6.09,2.78
NORTHERN EASTERN,1.41,0.0,3.82,2.7,3.35,0.0,6.39,0.0,5.93,0.0,3.45,0.0,2.61,0.0,1.81,0.0,6.17,0.0,2.55,-1.42,2.77,0.0,4.55,0.0
SHORE              05,1.48,-2.16,5.6,0.0,3.94,0.17,6.32,2.87,6.38,2.1,2.78,-0.84,3.68,0.11,2.6,-1.11,9.37,5.23,2.2,0.0,2.46,-1.15,5.67,2.13
CHESTERTOWN              ,1.67,-1.3,3.87,0.0,3.08,-0.35,7.53,4.31,7.17,0.0,5.11,0.0,2.45,0.0,2.65,-0.79,10.04,6.0,1.79,-1.39,2.47,-0.92,0.0,0.0
--DIVISIONAL DATA------->,1.7,0.0,5.03,1.37,4.66,0.0,8.12,0.0,5.89,0.0,4.97,0.0,3.58,0.0,1.66,0.0,4.48,0.0,1.38,-1.4125806451612903,2.15,0.0,5.7,0.0
NORTHERN CENTRAL   06,1.43,-2.17,4.29,0.47624999999999995,3.44,-0.59,5.88,2.35,5.79,1.17,3.42,-0.63,3.69,-0.27,2.09,-1.75,6.9,2.57,2.12,-1.4125806451612903,2.4,-1.22,5.1,1.6
ABERDEEN PHILLIPS FLD    ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
CATOCTIN MTN PARK        ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
CONOWINGO DAM            ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
CYLBURN                  ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
EMMITSBURG 2 SE          ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
FREDERICK 2 NNE          ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
MILLERS 4 NE             ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
POTOMAC FLTR PLT         ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
SMITHSBURG 2NW           ,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
--DIVISIONAL DATA------->,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
APPALACHIAN,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
MOUNTAIN           07,1.519090909090909,-1.6590909090909087,3.796969696969697,0.47624999999999995,2.732727272727272,-1.0760606060606062,5.178787878787876,1.4151515151515148,6.891818181818181,2.246969696969697,4.548787878787879,0.6687878787878788,3.833333333333334,-0.2660606060606061,1.7742424242424246,-1.5127272727272723,5.507878787878788,1.148787878787879,1.5312121212121212,-1.4125806451612903,3.3739393939393936,0.21666666666666676,4.243030303030301,0.9572727272727273
