Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,3.9431034482758616,0.95,2.222857142857143,-0.19,4.379333333333333,-0.35,3.6090000000000004,0.12,2.47741935483871,-1.62,9.620645161290323,2.22,3.8116129032258064,-3.86,2.6639999999999997,1.23,3.9640625000000003,-0.6,4.173548387096774,0.71,2.5824999999999996,0.05,4.9624999999999995,1.38
SOUTHERN EASTERN SHORE  01,3.9431034482758616,1.28,2.222857142857143,0.37,4.379333333333333,-0.49,3.6090000000000004,1.78,1.96,-1.7672727272727273,5.75,5.526363636363636,0.47,-0.41272727272727266,2.6639999999999997,-0.65,3.24,-0.18909090909090917,4.173548387096774,1.7,3.44,-0.9600000000000001,5.22,1.362272727272727
ASSATEAGUE,4.99,0.8,3.27,-0.11,4.37,-0.32,3.9,1.02,2.04,-1.87,8.99,4.55,3.73,1.88,5.65,0.45,3.11,-1.95,4.62,1.31,3.85,-0.17,5.22,0.78
PRINCESS ANNE,4.56,0.5700000000000003,3.16,-0.8073684210526316,4.07,0.3085714285714286,3.67,-0.05285714285714285,1.75,-1.95,8.26,3.9,6.26,0.83,5.66,-1.3733333333333333,2.03,1.41,4.2,0.6852380952380952,3.26,1.71,4.49,1.03
SALISBURY 2N,4.85,1.35,3.51,-0.8073684210526316,4.03,0.46,5.26,0.0,1.57,-1.83,7.37,4.83,5.22,0.76,4.25,-0.75,5.81,-0.11,5.23,2.12,5.23,0.93,4.7,1.4
SALISBURY FAA AP,4.8,0.5700000000000003,3.31,-0.8073684210526316,4.16,0.3085714285714286,4.28,-0.05285714285714285,1.79,-1.7672727272727273,8.21,5.526363636363636,5.07,-0.41272727272727266,5.19,-1.3733333333333333,3.65,-0.18909090909090917,4.68,0.6852380952380952,4.11,-0.9600000000000001,4.8,1.362272727272727
SNOW HILL 4 N,5.33,0.5700000000000003,1.66,-0.8073684210526316,4.75,0.3085714285714286,3.39,-0.05285714285714285,3.02,-0.89,8.77,5.22,3.61,-0.58,3.51,-1.3733333333333333,2.61,-1.21,5.36,0.6852380952380952,2.46,-0.83,5.2,1.71
--DIVISIONAL DATA------->,5.33,0.28,2.222857142857143,1.5,4.75,-0.64,3.39,1.52,3.02,-1.7672727272727273,8.77,5.526363636363636,3.61,-0.41272727272727266,3.51,-2.19,2.61,-0.18909090909090917,5.36,0.5,2.46,-0.9600000000000001,5.2,1.362272727272727
CENTRAL EASTERN SHORE  02,4.0,0.5700000000000003,4.52,-0.8073684210526316,4.22,0.3085714285714286,4.47,-0.05285714285714285,3.06,-1.7672727272727273,9.56,5.526363636363636,3.12,-0.41272727272727266,1.94,-1.3733333333333333,7.84,-0.18909090909090917,3.98,0.6852380952380952,2.11,-0.9600000000000001,5.73,1.362272727272727
ROYAL OAK 2 SSW,4.41,0.82,3.01,-0.79,3.11,0.66,4.96,0.78,1.91,-1.65,11.61,6.81,3.9,-0.71,3.54,-2.36,2.49,1.0,3.08,-0.37,4.43,-1.16,4.1,2.42
--DIVISIONAL DATA------->,4.0,0.67,4.52,-2.33,3.67,0.4,4.72,0.53,2.49,-1.7672727272727273,10.59,5.526363636363636,3.51,-0.41272727272727266,1.94,-2.49,5.17,-0.18909090909090917,3.98,-0.81,2.11,-0.9600000000000001,5.73,1.362272727272727
LOWER SOUTHERN  03,3.89,0.65,2.24,-1.17,4.67,0.52,4.3,0.54,2.1,-2.85,13.09,7.79,3.49,-1.0,2.46,-2.31,3.25,-1.05,3.4,0.6852380952380952,2.42,-1.1,5.85,1.23
MECHANICSVILLE 5 NE,3.68,0.78,1.81,-0.48,4.34,0.58,4.13,-0.27,1.47,-1.64,11.49,5.12,2.94,0.36,0.91,-1.31,3.03,-2.09,3.3,-0.64,2.14,-1.18,4.36,1.41
SOLOMONS,3.69,-0.02,0.7,-1.17,4.4,0.46,4.19,-0.3,2.8,-1.56,9.33,7.25,4.95,-1.62,1.37,-2.01,2.08,-0.18909090909090917,3.03,0.11,2.44,-0.9600000000000001,4.63,1.362272727272727
--DIVISIONAL DATA------->,3.81,0.83,1.86,-1.04,4.62,0.57,4.35,-0.21,3.0,-0.36,11.48,4.37,2.43,-2.18,1.12,-2.47,3.9640625000000003,-0.42,4.173548387096774,-0.36,2.5824999999999996,-0.56,4.9624999999999995,2.83
UPPER SOUTHERN  04,3.7,1.14,2.12,-1.05,4.44,0.54,2.95,-0.01,3.13,-2.16,7.64,8.82,2.44,-0.44,2.08,-1.96,3.67,-0.92,2.41,1.44,2.41,-1.18,6.24,2.1
BALTIMORE WASH INTL AP,3.07,0.17,1.73,-0.99,4.18,0.43,3.21,0.33,2.12,-2.13,12.9,6.36,3.88,0.95,1.4,-2.4,2.84,-1.61,3.9,0.09,2.29,-1.56,5.3,1.3
BELTSVILLE,3.85,0.5700000000000003,1.89,-0.8073684210526316,4.35,0.3085714285714286,3.19,-0.05285714285714285,2.23,-1.72,10.72,6.32,5.3,-1.91,1.15,-1.3733333333333333,2.52,-0.85,3.36,0.6852380952380952,2.04,-1.17,4.57,1.02
DALECARLIA RSVR,4.02,0.5700000000000003,1.67,-0.8073684210526316,4.3,0.3085714285714286,3.54,-0.05285714285714285,2.6,-2.02,10.39,7.14,2.11,-0.91,1.76,-1.3733333333333333,3.14,-1.1,5.04,4.82,2.3,-1.11,4.16,1.63
LAUREL 3 W,3.72,0.5700000000000003,1.93,-0.8073684210526316,4.45,0.3085714285714286,3.67,-0.05285714285714285,2.42,-1.7672727272727273,10.8,5.526363636363636,3.23,-0.41272727272727266,1.55,-1.3733333333333333,3.08,-0.18909090909090917,3.57,0.6852380952380952,2.27,-0.9600000000000001,5.02,1.362272727272727
MARYLAND SCIENCE CENTER,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.54,-0.74,8.19,0.6852380952380952,2.42,-0.85,4.98,1.35
NATL ARBORETUM DC,3.9431034482758616,-1.53,2.222857142857143,-0.99,4.379333333333333,0.61,3.6090000000000004,-2.38,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,0.33,3.54,-0.18909090909090917,8.19,-1.13,2.42,-0.9600000000000001,4.98,1.362272727272727
OXON HILL,4.18,0.5700000000000003,1.77,-0.8073684210526316,5.19,0.3085714285714286,2.87,-0.05285714285714285,1.77,-1.7672727272727273,11.24,5.526363636363636,6.33,-0.41272727272727266,2.18,-1.3733333333333333,4.25,-0.18909090909090917,3.19,0.6852380952380952,3.31,-0.9600000000000001,6.63,1.362272727272727
UPPER MARLBORO 3 NNW,4.41,0.21,2.36,-1.2,6.77,1.77,3.89,-0.49,5.58,-2.04,10.52,4.69,3.66,1.89,2.16,-2.89,2.62,-1.06,3.2,1.22,2.98,-1.66,6.23,0.86
--DIVISIONAL DATA------->,1.91,0.07,1.86,-0.55,4.86,-0.21,1.55,-0.82,1.92,-1.7672727272727273,8.87,5.526363636363636,6.18,-0.41272727272727266,4.24,-0.95,3.89,-0.18909090909090917,2.99,2.19,1.88,-0.9600000000000001,4.89,1.362272727272727
NORTHERN EASTERN SHORE  05,3.62,0.5700000000000003,1.63,-0.8073684210526316,5.4,0.3085714285714286,3.22,-0.05285714285714285,2.66,-1.55,10.06,6.63,5.56,-1.23,4.21,-1.3733333333333333,6.06,-0.59,3.32,0.6852380952380952,2.13,-1.44,5.72,2.02
SUDLERSVILLE 1S,3.58,0.17,1.97,-1.3,5.46,1.34,3.14,-1.32,2.62,-2.17,10.77,6.69,2.89,0.26,1.4,-2.22,3.92,0.68,4.94,0.79,2.48,-1.81,5.65,1.43
--DIVISIONAL DATA------->,3.25,0.5700000000000003,2.15,-0.8073684210526316,3.84,-0.81,3.09,-1.76,2.17,-1.7672727272727273,10.61,5.526363636363636,3.91,-0.41272727272727266,2.45,0.41,4.92,-0.18909090909090917,5.57,-0.71,1.8,-0.9600000000000001,4.76,1.362272727272727
NORTHERN CENTRAL  06,3.9431034482758616,0.16,2.222857142857143,-0.92,4.379333333333333,1.2,3.6090000000000004,-0.65,2.47741935483871,-1.85,9.620645161290323,4.28,3.8116129032258064,-0.28,2.6639999999999997,-1.25,3.9640625000000003,4.14,4.173548387096774,0.19,2.5824999999999996,-2.07,4.9624999999999995,0.91
ABERDEEN PHILLIPS FLD,3.38,0.5700000000000003,1.89,-0.8073684210526316,5.06,0.3085714285714286,2.39,-0.05285714285714285,2.41,-1.68,7.67,2.81,3.71,0.44,1.5,-1.3733333333333333,8.61,-0.2,4.54,0.6852380952380952,1.52,-1.69,4.55,0.56
BRIGHTON DAM,3.9431034482758616,-1.05,2.222857142857143,-1.84,2.9,-0.35,2.05,0.7,2.46,-1.89,7.0,5.91,4.18,0.65,3.55,-1.96,3.84,0.95,2.53,0.87,1.97,-1.29,3.91,1.99
CONOWINGO DAM,3.76,3.67,2.0,-1.09,5.23,0.11,2.88,-0.22,2.73,-1.7672727272727273,9.96,5.526363636363636,4.61,-0.41272727272727266,2.59,-1.09,5.28,-0.18909090909090917,3.7,0.35,2.33,-0.9600000000000001,5.49,1.362272727272727
CYLBURN,1.74,0.5700000000000003,0.95,-0.8073684210526316,2.42,0.3085714285714286,3.65,-0.05285714285714285,2.41,-1.7,8.07,4.73,2.14,-0.43,2.87,-1.3733333333333333,4.37,1.81,2.85,0.6852380952380952,1.54,-1.96,3.44,0.38
DAMASCUS 3 SSW,2.27,0.5700000000000003,1.28,-0.8073684210526316,3.59,0.3085714285714286,4.57,-0.05285714285714285,3.18,-1.75,8.73,5.14,3.57,-1.95,1.64,-1.3733333333333333,5.49,0.35,3.91,0.6852380952380952,1.71,-1.02,3.67,0.23
EMMITSBURG 2 SE,6.55,0.5700000000000003,1.47,-0.8073684210526316,3.78,0.3085714285714286,3.4,-0.05285714285714285,2.41,-1.7672727272727273,9.02,5.526363636363636,2.15,-0.41272727272727266,2.14,-1.3733333333333333,4.35,-0.18909090909090917,3.76,0.6852380952380952,2.38,-0.9600000000000001,3.38,1.362272727272727
FREDERICK 2 NNE,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
MILLERS 4 NE,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
SMITHSBURG 2NW,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
--DIVISIONAL DATA------->,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
APPALACHIAN MOUNTAIN  07,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
CUMBERLAND 2,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
FROSTBURG 2,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
SHARPSBURG 5 S,3.9431034482758616,0.5700000000000003,2.222857142857143,-0.8073684210526316,4.379333333333333,0.3085714285714286,3.6090000000000004,-0.05285714285714285,2.47741935483871,-1.7672727272727273,9.620645161290323,5.526363636363636,3.8116129032258064,-0.41272727272727266,2.6639999999999997,-1.3733333333333333,3.9640625000000003,-0.18909090909090917,4.173548387096774,0.6852380952380952,2.5824999999999996,-0.9600000000000001,4.9624999999999995,1.362272727272727
