Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,3.3162068965517237,-0.4,4.227666666666667,0.29,1.6890625000000001,-2.67,2.121290322580646,-0.02,6.257333333333334,4.6,4.21774193548387,5.33,5.391666666666667,1.76,3.0243333333333333,-2.83,7.197000000000001,11.16,2.0060000000000002,1.27,0.8870967741935485,-2.52,3.311290322580645,-1.74
SOUTHERN EASTERN SHORE  01,3.3162068965517237,-0.34,4.227666666666667,2.51,1.69,-2.3132,3.48,-1.4168,8.18,2.0958333333333337,8.86,0.4958333333333333,6.09,1.0345833333333336,1.83,-1.03125,15.0,3.0179166666666664,4.57,-1.6445833333333326,0.87,-2.517916666666667,2.1,-0.20958333333333337
ASSATEAGUE,3.97,-0.53,4.03,1.23,1.68,-2.64,4.1,0.12,5.48,2.81,7.26,2.62,6.72,2.16,3.39,-1.73,14.46,8.88,4.18,0.55,0.47,-2.89,3.13,-0.78
PRINCESS ANNE,3.21,-0.74,3.64,1.7,1.78,-1.73,3.67,-1.57,6.43,3.32,6.33,2.97,6.54,-1.9,2.7,-2.7,12.86,15.99,4.04,-2.56,0.54,-2.84,2.93,0.32
SALISBURY 2N,3.23,0.05565217391304345,5.65,1.52,2.79,-2.4,1.91,0.63,6.84,2.63,6.44,3.3,2.49,0.94,2.2,-1.98,20.39,12.14,0.97,-0.31,0.68,-2.62,3.99,-0.05
SALISBURY FAA AP  //,3.47,0.5,4.65,0.48,2.08,-2.36,3.89,-1.58,6.25,3.39,6.68,-0.89,5.25,1.21,2.76,-2.34,15.9,1.62,3.06,-0.41,0.56,-3.09,3.35,-0.41
SNOW HILL 4 N,2.86,0.05565217391304345,4.83,1.3875000000000002,2.0,-2.29,2.28,-1.11,7.58,3.67,2.97,-0.58,5.58,1.39,1.93,-2.33,5.63,1.81,3.31,0.07,0.56,-2.73,3.33,-0.16
--DIVISIONAL DATA------->,3.3162068965517237,-0.48,4.83,0.54,2.0,-2.92,2.28,-0.93,7.58,5.06,2.97,-0.13,5.58,-0.76,1.93,-0.61,5.63,8.14,3.31,0.05,0.56,-3.12,3.33,-0.6
CENTRAL EASTERN SHORE  02,3.73,0.45,3.56,2.8,1.29,-2.3132,2.57,-1.4168,9.26,2.0958333333333337,3.94,0.4958333333333333,3.55,1.0345833333333336,3.27,-1.03125,12.42,3.0179166666666664,3.75,-1.6445833333333326,0.47,-2.517916666666667,3.1,-0.20958333333333337
ROYAL OAK 2 SSW,2.75,0.05565217391304345,2.68,1.3875000000000002,1.41,-2.96,2.51,-0.63,6.8,3.89,2.89,-0.36,3.3,-0.79,2.36,-1.31,8.45,8.25,4.01,0.27,0.69,-2.8,3.83,-0.21
--DIVISIONAL DATA------->,3.24,-0.02,3.56,1.48,1.35,-1.8,2.57,-1.88,8.03,1.25,3.42,-0.26,3.43,2.02,2.82,0.67,12.42,0.33,3.75,-2.55,0.47,-1.79,3.1,-0.6
LOWER SOUTHERN  03,3.5,-1.9,5.7,2.06,2.1,-2.3132,1.31,-1.4168,5.24,2.0958333333333337,3.2,0.4958333333333333,6.09,1.0345833333333336,3.96,-1.03125,4.36,3.0179166666666664,0.78,-1.6445833333333326,1.51,-2.517916666666667,2.77,-0.20958333333333337
MECHANICSVILLE 5 NE,3.3162068965517237,0.36,4.227666666666667,2.72,0.38,-2.1,2.121290322580646,-1.49,6.257333333333334,0.83,0.0,1.0,5.391666666666667,1.92,3.0243333333333333,0.95,7.197000000000001,-1.09,2.0060000000000002,-2.94,0.8870967741935485,-2.89,3.311290322580645,0.59
SOLOMONS,2.84,0.3,4.08,1.05,1.58,-2.58,1.86,-1.45,5.15,2.31,4.7,-0.99,5.86,1.14,4.22,-1.68,2.99,0.23,0.73,-3.07,0.35,-3.23,3.72,0.62
--DIVISIONAL DATA------->,1.12,0.04,5.09,1.56,1.42,-1.68,2.21,-1.63,6.75,0.32,3.22,0.21,5.73,1.48,2.18,0.72,4.4,1.17,0.77,-2.42,0.39,-1.5,3.84,-1.07
UPPER SOUTHERN  04,3.28,0.43,5.32,0.38,2.18,-2.33,1.59,-1.52,3.81,1.61,3.48,-0.92,6.1,1.46,4.11,-0.73,5.26,-0.98,0.63,-2.86,1.47,-3.09,2.34,0.74
BALTIMORE-WASHINGTON INTL AP,3.39,-0.32,3.95,1.62,1.39,-2.69,1.99,-1.48,5.89,1.47,3.16,-0.67,5.78,-0.62,2.68,-0.79,2.78,0.34,0.93,-2.19,0.38,-3.2,3.94,0.03
BALTIMORE WASHINGTON INTL CLIM,3.06,0.05565217391304345,4.49,1.3875000000000002,1.09,-2.98,1.92,-2.35,5.83,2.0958333333333337,3.69,0.4958333333333333,3.73,1.0345833333333336,2.83,-1.03125,4.47,3.0179166666666664,1.53,-1.6445833333333326,0.4,-2.517916666666667,3.3,-0.20958333333333337
BELTSVILLE,3.31,0.05565217391304345,3.1,1.3875000000000002,0.78,-2.66,1.2,-1.61,6.257333333333334,0.74,4.21774193548387,-0.62,5.391666666666667,1.41,3.0243333333333333,-0.39,7.197000000000001,0.09,2.0060000000000002,-2.56,0.8870967741935485,-2.56,3.311290322580645,-0.18
DALECARLIA RSVR,3.23,-1.18,4.54,0.89,1.36,-2.3132,1.73,-1.4168,5.18,2.0958333333333337,3.04,0.4958333333333333,5.55,1.0345833333333336,3.56,-1.03125,4.27,3.0179166666666664,0.92,-1.6445833333333326,0.82,-2.517916666666667,3.21,-0.20958333333333337
MARYLAND SCI CTR,1.92,-0.73,3.46,1.27,1.66,-2.3132,1.43,-1.4168,6.28,2.0958333333333337,5.54,0.4958333333333333,8.26,1.0345833333333336,3.91,-1.03125,4.37,3.0179166666666664,2.32,-1.6445833333333326,0.44,-2.517916666666667,3.04,-0.20958333333333337
NATL ARBORETUM DC,3.01,0.05565217391304345,4.36,1.3875000000000002,1.93,-2.32,1.99,-1.68,7.65,2.82,3.39,0.53,7.43,3.8,3.06,-0.37,6.91,1.36,3.06,-0.68,0.69,-2.7,2.65,-0.78
OXON HILL,2.47,1.14,3.91,1.01,1.8,-1.95,1.71,-3.07,6.97,0.77,4.47,-0.25,7.85,0.0,3.49,-0.52,5.64,1.52,2.69,-2.76,0.57,-2.3,2.85,0.28
UPPER MARLBORO 3 NNW,2.43,0.05565217391304345,4.15,1.3875000000000002,1.94,-2.3132,0.6,-1.4168,4.72,2.0958333333333337,3.57,0.4958333333333333,4.41,1.0345833333333336,3.24,-1.03125,6.04,3.0179166666666664,1.0,-1.6445833333333326,1.12,-2.517916666666667,3.86,-0.20958333333333337
--DIVISIONAL DATA------->,3.7,1.54,4.27,1.13,2.39,-2.33,1.46,-2.44,8.64,1.2,4.22,-2.08,6.84,-0.24,2.51,-1.82,4.34,-1.2,0.7,-3.15,0.94,-2.09,4.12,-0.94
NORTHERN EASTERN SHORE  05,4.58,1.55,3.86,1.62,1.92,-2.3132,1.49,-1.4168,5.16,2.0958333333333337,2.1,0.4958333333333333,4.05,1.0345833333333336,2.09,-1.03125,3.75,3.0179166666666664,0.97,-1.6445833333333326,1.45,-2.517916666666667,3.09,-0.20958333333333337
STEVENSVILLE 2SW,4.49,0.05565217391304345,3.84,1.3875000000000002,1.93,-1.73,1.85,-1.39,4.86,0.96,4.55,1.04,4.07,4.19,7.1,-1.31,5.68,0.17,1.25,-3.14,0.75,-1.45,3.46,-1.1
SUDLERSVILLE 1S,4.91,1.56,4.3,1.73,1.96,-2.2,2.24,-2.22,5.13,1.27,5.18,1.7,8.31,0.82,2.98,-1.05,4.68,-0.37,0.58,-2.58,2.47,-2.16,2.53,0.71
--DIVISIONAL DATA------->,4.73,0.05565217391304345,4.32,1.3875000000000002,1.85,-2.3132,1.69,-1.4168,5.61,2.0958333333333337,5.62,0.4958333333333333,4.47,1.0345833333333336,2.35,-1.03125,3.87,3.0179166666666664,0.8,-1.6445833333333326,1.45,-2.517916666666667,4.04,-0.20958333333333337
NORTHERN CENTRAL  06,3.3162068965517237,-0.99,4.227666666666667,2.21,1.6890625000000001,-1.97,2.121290322580646,-1.0,6.257333333333334,1.15,4.21774193548387,0.52,5.391666666666667,1.5,3.0243333333333333,0.17,7.197000000000001,2.39,2.0060000000000002,-2.19,0.8870967741935485,-1.65,3.311290322580645,-0.07
ABERDEEN PHILLIPS FLD,4.77,0.68,4.92,1.5,1.75,-2.3132,2.71,-1.4168,5.41,2.0958333333333337,3.91,0.4958333333333333,5.49,1.0345833333333336,3.89,-1.03125,6.86,3.0179166666666664,1.56,-1.6445833333333326,1.94,-2.517916666666667,3.57,-0.20958333333333337
BRIGHTON DAM,3.3162068965517237,0.36,4.227666666666667,0.0,1.6890625000000001,-2.71,2.121290322580646,-1.63,6.257333333333334,2.48,4.21774193548387,-0.37,5.391666666666667,0.85,3.0243333333333333,-2.13,7.197000000000001,-0.61,2.0060000000000002,-2.36,1.44,-2.75,4.06,-0.03
CONOWINGO DAM,1.67,0.05565217391304345,4.95,1.3875000000000002,1.0,-2.06,2.18,-1.5,6.62,0.6,3.82,0.01,4.59,1.49,1.01,-1.18,3.43,0.57,0.88,-2.54,0.91,-2.17,3.32,-0.1
CYLBURN,4.28,0.05565217391304345,4.42,1.3875000000000002,1.97,-1.77,2.03,-1.99,5.22,1.15,4.06,0.79,5.45,-0.4,2.66,0.54,4.9,0.52,0.97,-0.41,1.45,-2.29,3.4,0.5
DAMASCUS 3 SSW,3.02,0.05565217391304345,2.37,1.3875000000000002,1.6,-2.3132,1.31,-1.4168,5.17,2.0958333333333337,4.07,0.4958333333333333,3.16,1.0345833333333336,3.71,-1.03125,3.75,3.0179166666666664,2.16,-1.6445833333333326,0.69,-2.517916666666667,3.35,-0.20958333333333337
EMMITSBURG 2 SE,3.3162068965517237,0.05565217391304345,4.227666666666667,1.3875000000000002,1.6890625000000001,-2.3132,2.121290322580646,-1.4168,6.257333333333334,2.0958333333333337,4.21774193548387,0.4958333333333333,5.391666666666667,1.0345833333333336,3.0243333333333333,-1.03125,7.197000000000001,3.0179166666666664,2.0060000000000002,-1.6445833333333326,0.8870967741935485,-2.517916666666667,3.311290322580645,-0.20958333333333337
FREDERICK 2 NNE,3.3162068965517237,0.05565217391304345,4.227666666666667,1.3875000000000002,1.6890625000000001,-2.3132,2.121290322580646,-1.4168,6.257333333333334,2.0958333333333337,4.21774193548387,0.4958333333333333,5.391666666666667,1.0345833333333336,3.0243333333333333,-1.03125,7.197000000000001,3.0179166666666664,2.0060000000000002,-1.6445833333333326,0.8870967741935485,-2.517916666666667,3.311290322580645,-0.20958333333333337
MILLERS 4 NE,3.3162068965517237,0.05565217391304345,4.227666666666667,1.3875000000000002,1.6890625000000001,-2.3132,2.121290322580646,-1.4168,6.257333333333334,2.0958333333333337,4.21774193548387,0.4958333333333333,5.391666666666667,1.0345833333333336,3.0243333333333333,-1.03125,7.197000000000001,3.0179166666666664,2.0060000000000002,-1.6445833333333326,0.8870967741935485,-2.517916666666667,3.311290322580645,-0.20958333333333337
