Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,3.585142857142857,-0.62,2.256764705882353,0.59,3.1265625000000004,0.43,2.9834375000000013,0.23,3.2453124999999994,-0.3,7.286060606060609,2.42,4.297333333333333,-0.57,4.0415624999999995,0.1,1.5822580645161286,-3.21,5.608437499999999,3.12,2.7,-1.95,5.030625000000001,-0.53
SOUTHERN EASTERN SHORE  01,2.96,0.4376923076923077,3.5,-0.6347999999999999,3.1265625000000004,1.19,2.9834375000000013,0.37,3.2453124999999994,0.07,5.95,3.305416666666666,4.297333333333333,0.93,4.76,0.11000000000000006,1.5822580645161286,-3.02,6.42,2.291304347826087,2.7,-0.73,5.030625000000001,0.71
ASSATEAGUE,3.53,-0.61,4.1,0.35,5.17,0.76,4.53,0.9,2.93,-0.34,8.96,6.21,4.297333333333333,0.26,6.26,2.87,1.35,-2.59,6.28,0.19,2.94,-0.78,6.11,1.16
PRINCESS ANNE,3.0,-0.81,3.7,1.29,4.85,-0.8669565217391306,3.78,-0.698695652173913,3.32,-0.8852173913043478,9.92,2.98,3.81,0.12500000000000003,7.3,0.52,0.77,-2.4854545454545462,3.68,1.28,1.48,-0.8636363636363634,3.18,1.5408695652173916
SALISBURY 2N,2.76,-0.9,4.43,0.66,5.71,-0.8,3.85,0.5,3.59,-0.91,6.45,5.06,5.32,-0.87,5.42,1.59,1.38,-1.39,4.81,1.55,2.79,0.03,4.38,1.84
SALISBURY FAA AP,3.1,0.4376923076923077,4.08,-0.6347999999999999,5.24,-0.8669565217391306,4.16,-0.698695652173913,3.28,-0.8852173913043478,8.44,3.305416666666666,4.57,0.12500000000000003,6.33,0.11000000000000006,1.17,-2.4854545454545462,4.92,2.291304347826087,2.4,-0.8636363636363634,4.56,1.5408695652173916
SNOW HILL 4 N,2.73,-1.25,2.45,-0.86,3.49,-0.8669565217391306,3.89,-0.698695652173913,3.0,-0.8852173913043478,9.23,5.68,3.32,0.12500000000000003,2.84,-1.42,2.43,-2.4854545454545462,3.33,0.09,3.32,-0.8636363636363634,5.33,1.5408695652173916
--DIVISIONAL DATA------->,2.73,0.4376923076923077,2.45,-0.6347999999999999,3.49,-0.7,3.89,1.3,3.0,-1.62,9.23,3.305416666666666,3.32,-1.16,2.84,0.11000000000000006,2.43,-3.15,3.33,2.291304347826087,3.32,-0.15,5.33,2.24
CENTRAL EASTERN SHORE  02,3.03,0.4376923076923077,2.2,-0.6347999999999999,3.96,-0.8669565217391306,4.49,-0.698695652173913,2.52,-0.8852173913043478,7.09,3.305416666666666,3.06,0.12500000000000003,6.99,0.11000000000000006,0.89,-2.4854545454545462,4.74,2.291304347826087,3.37,-0.8636363636363634,5.66,1.5408695652173916
ROYAL OAK 2 SSW,3.64,-0.38,1.7,-1.07,3.25,-1.37,4.5,-1.35,2.59,-0.66,7.12,3.33,8.11,-0.99,3.94,2.86,1.15,-2.14,4.63,1.21,2.86,-0.44,5.43,1.84
--DIVISIONAL DATA------->,3.34,0.4376923076923077,1.95,-0.6347999999999999,3.61,-0.62,4.5,-1.69,2.52,-0.61,7.11,3.305416666666666,3.06,1.85,6.99,0.11000000000000006,1.02,-2.16,4.69,2.291304347826087,3.12,-0.72,5.55,3.58
LOWER SOUTHERN  03,3.64,-0.15,1.95,-0.86,2.64,-1.06,2.2,-1.04,3.43,-0.67,7.81,3.9,2.77,-0.87,1.13,-0.13,1.65,-2.87,7.62,1.71,2.82,-2.2,5.27,1.51
MECHANICSVILLE 5 NE,2.71,0.31,1.74,0.28,2.31,-1.59,2.0,-1.01,3.66,0.34,7.6,4.19,2.95,-1.15,3.14,-1.06,1.94,-2.42,5.38,4.07,2.8,-0.35,4.97,1.65
