Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.2600000000000002,-0.76,1.876969696969697,0.06,1.87,-2.63,4.66,1.26,3.633636363636363,-1.09,2.78,-0.37,3.7790909090909093,-0.76,4.8426470588235295,1.73,4.12875,0.12,8.546129032258063,7.14,0.7815151515151517,-3.01,3.707575757575758,1.14
SOUTHERN EASTERN SHORE  01,2.82,-0.7496,2.97,0.1,2.3371874999999998,-1.29,0.38,-3.12,2.49,1.43,2.25,-1.28,3.57,-0.81,6.39,1.62,3.96,3.05,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
ASSATEAGUE,2.2600000000000002,-0.7496,3.24,-0.8096153846153846,2.07,-2.45,3.22,-0.26,4.95,-0.010370370370370363,3.33,-0.14,3.58,0.07307692307692303,6.52,1.1003703703703702,7.45,0.4828,10.67,5.71,0.51,-2.99,4.81,-0.46
PRINCESS ANNE,2.2600000000000002,-1.52,3.34,0.25,2.03,-1.29,3.41,-0.7453571428571429,2.09,-1.02,2.89,-0.17392857142857146,3.74,-2.04,8.51,0.95,10.66,3.76,8.546129032258063,6.57,0.67,-2.64,4.1,0.65
SNOW HILL 4 N,2.09,-1.91,3.6,-0.03,1.1,-3.32,2.95,-0.6,2.6,-0.41,3.52,-0.19,2.34,-1.35,5.38,2.06,7.74,4.86,9.2,5.5931999999999995,0.44,-2.436153846153846,3.25,0.5184615384615385
SALISBURY 2N,2.09,-0.7496,3.39,-0.8096153846153846,1.77,-2.71,3.56,0.3,3.21,-0.010370370370370363,3.06,-0.32,2.96,0.07307692307692303,6.8,1.1003703703703702,8.62,0.4828,9.94,7.15,0.54,-2.36,4.05,1.55
SALISBURY FAA AP,1.63,-2.35,2.8,-0.51,1.21,-1.29,3.3,-0.7453571428571429,2.43,-1.48,2.07,-0.17392857142857146,2.7,-1.49,8.55,4.29,2.82,-1.0,10.39,5.5931999999999995,0.93,-2.436153846153846,5.04,0.5184615384615385
--DIVISIONAL DATA------->,1.63,-0.7496,2.8,-0.8096153846153846,1.21,-3.08,3.3,-0.09,2.43,-0.010370370370370363,2.07,-1.48,2.7,0.07307692307692303,8.55,1.1003703703703702,2.82,0.4828,10.39,10.27,0.93,0.57,5.04,4.14
CENTRAL EASTERN SHORE  02,1.62,1.39,1.67,2.05,2.37,-1.29,2.32,-0.7453571428571429,3.633636363636363,2.61,2.42,-0.17392857142857146,3.86,1.98,6.06,7.52,1.64,3.81,8.24,5.78,0.89,-2.54,4.2,0.86
ROYAL OAK 2 SSW,1.39,-2.21,2.05,-0.97,3.13,3.13,3.47,3.47,2.61,-1.53,1.39,1.39,1.98,-1.3,7.52,1.93,3.81,-1.44,10.27,5.5931999999999995,0.57,-2.436153846153846,4.14,0.5184615384615385
--DIVISIONAL DATA------->,1.51,-0.7496,2.05,-0.8096153846153846,2.75,-1.56,2.9,-0.3,2.61,-0.010370370370370363,1.91,-1.87,2.92,0.07307692307692303,6.06,1.1003703703703702,2.73,0.4828,9.26,4.66,0.73,-2.57,4.17,-0.33
LOWER SOUTHERN  03,2.54,-0.49,2.42,-1.84,1.76,-1.29,1.99,-0.7453571428571429,1.99,-1.62,2.68,-0.17392857142857146,3.27,-0.96,5.82,-1.09,2.21,-1.67,8.92,5.82,0.71,-2.75,3.11,1.16
MECHANICSVILLE 5 NE,2.37,-0.24,0.76,-1.08,3.08,-0.6,2.02,-1.33,2.7,-0.41,3.13,-0.57,2.98,-1.22,2.18,-0.41,2.41,-0.99,8.33,6.31,0.67,-2.33,2.8,-0.22
SOLOMONS,2.78,-1.17,1.95,-0.21,2.91,-1.09,2.35,-1.31,4.03,-1.05,3.02,-1.19,3.37,1.36,3.45,2.5,3.18,-1.09,9.66,6.62,0.87,-3.5,4.38,-0.43
--DIVISIONAL DATA------->,1.75,-0.88,2.39,-0.52,1.17,-2.69,2.25,-0.97,2.44,-0.87,1.88,-1.39,5.98,-0.45,5.89,-0.68,3.0,-2.44,9.36,3.07,0.64,-3.02,3.19,-0.01
UPPER SOUTHERN  04,2.28,-0.92,2.51,-1.78,1.89,-2.21,2.18,-1.63,3.69,-0.66,3.37,-0.86,3.6,-1.39,2.75,-0.66,2.16,0.55,10.6,2.97,0.71,-2.85,3.34,0.08
BALTIMORE WASH INTL AP,2.1,-1.11,1.15,-2.1,2.28,-1.5,2.16,-1.24,3.7,-1.23,3.62,-0.74,2.96,-0.89,2.96,-1.0,4.68,-0.01,6.79,4.75,0.58,-3.23,3.26,0.57
BELTSVILLE,1.98,-0.67,0.8,-1.55,4.01,0.29,2.06,-1.45,3.05,-1.73,2.85,-1.23,3.43,-0.45,2.41,-1.39,3.75,-0.83,6.76,5.38,0.62,-2.68,3.28,-0.01
DALECARLIA RSVR,2.21,-1.3,1.17,-1.16,2.51,-1.25,1.98,-1.57,2.59,-1.42,2.26,-1.81,3.57,-0.46,2.33,-0.48,3.16,-1.11,8.35,5.5931999999999995,0.24,-2.436153846153846,3.71,0.5184615384615385
MARYLAND SCIENCE CENTER,2.25,-0.7496,1.76,-0.8096153846153846,2.45,-1.57,2.13,-1.21,3.02,-0.010370370370370363,2.85,-0.81,3.68,0.07307692307692303,3.47,1.1003703703703702,3.07,0.4828,8.86,5.5931999999999995,0.7,-2.436153846153846,3.38,0.5184615384615385
LAUREL 3 W,2.16,-0.58,0.67,-1.65,1.72,-1.29,2.41,-0.7453571428571429,3.39,-0.010370370370370363,2.59,-0.17392857142857146,1.57,0.07307692307692303,6.48,1.1003703703703702,2.14,0.4828,9.53,5.5931999999999995,0.83,-2.436153846153846,3.34,0.5184615384615385
OXON HILL,2.99,-0.7496,1.6,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,4.08,0.7815151515151517,-2.67,3.707575757575758,0.09
NATL ARBORETUM DC,2.02,-0.37,0.36,-1.97,1.3,-1.29,2.23,-0.7453571428571429,2.22,-1.85,0.16,-0.17392857142857146,4.9,-1.96,2.05,0.86,2.48,-0.81,2.6,6.64,0.66,-2.76,3.41,-0.04
UPPER MARLBORO 3 NNW,3.07,-1.23,0.88,-0.33,1.78,-2.47,3.32,-0.61,2.11,1.5,5.98,1.8,2.33,2.06,4.77,0.11,4.14,-1.49,8.2,4.21,0.87,-2.51,4.12,0.27
--DIVISIONAL DATA------->,2.14,-0.74,2.84,-1.77,1.86,-1.83,1.82,-1.81,5.67,0.54,4.79,0.65,6.18,0.17,4.4,0.65,3.02,2.17,10.36,11.44,1.16,0.92,3.59,2.1
NORTHERN CENTRAL  06,2.44,1.55,0.93,1.07,3.63,-0.42,2.49,-1.42,4.88,4.41,4.09,0.17,3.82,4.14,4.05,7.55,6.41,3.7,7.59,4.53,1.1,-2.61,3.6,0.06
ABERDEEN PHILLIPS FLD,1.55,-0.84,1.07,-1.08,2.28,2.28,2.61,2.61,4.41,-0.23,6.97,6.97,4.14,4.06,7.55,-0.77,3.7,0.4828,11.44,8.34,0.92,-2.51,2.1,0.48
CATOCTIN MTN PARK,2.15,-0.48,1.74,-0.87,3.87,0.13,1.95,-1.67,4.33,0.86,3.64,-0.36,8.29,1.28,2.74,1.31,4.12875,0.78,8.06,5.1,1.09,-2.23,3.37,0.32
BRIGHTON DAM,2.73,0.31,2.32,-0.8096153846153846,1.7,-2.02,2.77,-0.94,5.12,2.5,4.66,1.27,5.27,-0.35,5.03,1.68,5.25,0.39,12.09,5.5931999999999995,1.08,-2.25,4.12,0.04
CONOWINGO DAM,2.97,-0.7496,1.876969696969697,-1.55,2.3371874999999998,-1.29,3.78,-0.03,6.64,-0.62,3.12,-1.07,3.39,0.95,4.82,-1.57,4.43,0.4828,8.34,5.46,1.43,-2.66,3.67,0.19
DAMASCUS 3 SSW,2.2600000000000002,-0.96,0.94,-1.43,1.89,-1.7,1.88,-1.62,3.53,-0.73,3.86,-0.06,5.27,0.88,2.15,0.02,4.12875,-0.1,8.546129032258063,5.5931999999999995,1.02,-2.436153846153846,3.68,0.5184615384615385
EMMITSBURG 2 SE,2.64,-0.7496,1.49,-0.8096153846153846,2.34,-1.69,2.53,-1.0,3.89,-0.010370370370370363,4.68,0.63,4.84,0.07307692307692303,3.86,1.1003703703703702,4.23,0.4828,8.97,1.85,0.96,-3.32,3.69,1.22
CYLBURN,3.1,0.06,1.37,-1.47,3.97,-1.29,1.0,-0.7453571428571429,4.08,1.09,1.97,-0.17392857142857146,2.52,0.61,2.42,-1.17,3.05,0.07,4.42,5.37,0.39,-2.24,3.59,0.18
FREDERICK 2 NNE,3.38,-0.7496,1.65,-0.8096153846153846,4.17,0.23,1.27,-2.6,5.97,1.79,3.75,-0.25,4.61,0.29,2.43,1.41,3.75,1.09,4.89,0.61,0.35,-2.6,4.51,-0.12
MILLERS 4 NE,2.2600000000000002,-1.32,1.876969696969697,-0.71,2.3371874999999998,-1.29,2.75,-0.87,5.95,0.94,3.41,-0.47,4.39,0.07307692307692303,4.64,2.74,5.09,0.7,8.78,5.5931999999999995,1.16,-2.436153846153846,3.33,0.5184615384615385
SMITHSBURG 2NW,1.68,-0.7496,1.26,-0.8096153846153846,2.71,-1.52,2.34,-0.86,5.09,-0.010370370370370363,2.49,-1.29,3.7790909090909093,0.07307692307692303,5.66,1.1003703703703702,4.56,0.4828,3.67,5.5931999999999995,0.82,-2.436153846153846,2.98,0.5184615384615385
WESTMINSTER,2.2600000000000002,-0.7496,1.876969696969697,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
--DIVISIONAL DATA------->,2.2600000000000002,-0.7496,1.876969696969697,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
APPALACHIAN MOUNTAIN  07,2.2600000000000002,-0.7496,1.876969696969697,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
CUMBERLAND 2,2.2600000000000002,-0.7496,1.876969696969697,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
FROSTBURG 2,2.2600000000000002,-0.7496,1.876969696969697,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
SHARPSBURG 5 S,2.2600000000000002,-0.7496,1.876969696969697,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
WILLIAMSPORT,2.2600000000000002,-0.7496,1.876969696969697,-0.8096153846153846,2.3371874999999998,-1.29,2.5068571428571427,-0.7453571428571429,3.633636363636363,-0.010370370370370363,3.128857142857143,-0.17392857142857146,3.7790909090909093,0.07307692307692303,4.8426470588235295,1.1003703703703702,4.12875,0.4828,8.546129032258063,5.5931999999999995,0.7815151515151517,-2.436153846153846,3.707575757575758,0.5184615384615385
