Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.4056249999999997,-0.08,5.004062500000001,-0.63,2.642666666666666,-1.38,3.6583870967741934,-1.24,7.767931034482758,6.17,5.042903225806451,0.46,7.06,2.73,3.22,-1.44,7.04,3.2,6.8,3.5,5.86,2.47,5.330344827586206,-0.18
SOUTHERN EASTERN SHORE  01,4.63,0.58,2.88,-1.24,2.642666666666666,-1.13,3.08,-1.12,11.39,3.6583333333333337,5.25,1.13,4.55,4.75,3.3,1.4773076923076924,7.73,5.664615384615386,8.48,0.6353846153846153,6.39,3.734000000000001,4.67,-0.38
PRINCESS ANNE,3.53,0.1,2.72,-0.62,3.04,-1.26,2.31,-0.68,9.79,6.97,4.17,1.29,4.74,0.36,2.26,-2.17,5.26,1.28,8.67,5.18,4.5,1.07,3.53,0.43
SALISBURY 2N,4.15,-0.33,1.9,2.8,3.39,-1.09,2.36,-0.56,7.767931034482758,3.54,4.6,-1.07,7.94,3.55,2.63,-2.27,7.47,3.07,1.49,-2.04,4.5,0.98,3.29,0.87
SALISBURY-WICOMICO RGNL AP  //,4.1,-0.71,2.8,2.62,3.22,-1.02,2.58,-0.09,10.59,3.82,4.67,-0.76,6.07,1.76,2.85,-1.89,6.88,3.12,7.98,4.61,5.13,1.95,3.83,1.12
SNOW HILL 4 N,3.27,-0.8,5.93,3.65,3.27,-1.14,3.3,0.18,7.73,7.39,2.79,2.99,6.56,2.19,3.02,-1.25,6.57,2.56,5.91,2.19,7.82,4.17,4.61,1.22
--DIVISIONAL DATA------->,3.27,-0.9531999999999999,5.93,1.9808000000000001,3.27,-1.318,3.3,0.16079999999999997,7.73,3.6583333333333337,2.79,1.4656,6.56,2.37,3.02,-1.24,6.57,2.75,5.91,2.67,7.203225806451614,3.734000000000001,4.61,1.8124
CENTRAL EASTERN SHORE  02,2.43,-0.22,6.73,2.41,3.07,-1.24,3.68,0.76,11.59,7.45,7.06,3.28,12.88,8.57,4.28,0.4,8.98,4.7,8.27,4.57,6.89,3.3,4.92,1.61
ROYAL OAK 2 SSW,4.56,-0.9531999999999999,4.13,1.9808000000000001,3.71,-1.318,4.23,0.16079999999999997,8.72,3.6583333333333337,4.43,1.4656,8.29,4.75,1.57,1.4773076923076924,7.68,5.664615384615386,5.01,0.6353846153846153,8.33,3.734000000000001,5.330344827586206,1.8124
--DIVISIONAL DATA------->,3.5,-2.05,5.43,2.4,3.07,-1.65,3.96,0.01,11.59,4.18,7.06,1.31,12.88,8.66,4.28,0.15,8.98,4.81,8.27,4.79,7.61,4.34,4.92,3.17
LOWER SOUTHERN  03,1.23,-0.9531999999999999,5.7,1.9808000000000001,2.35,-1.318,3.28,0.16079999999999997,6.22,3.6583333333333337,1.8,1.4656,8.8,4.75,7.64,1.4773076923076924,2.43,5.664615384615386,3.78,0.6353846153846153,7.5,3.734000000000001,5.330344827586206,1.8124
MECHANICSVILLE 5 NE,1.0,-2.11,5.3,2.27,2.25,-1.81,3.2,0.26,8.17,2.42,4.77,2.39,16.73,12.66,3.84,0.55,9.19,5.16,2.69,-0.64,8.14,4.84,6.54,2.17
SOLOMONS,2.4056249999999997,-1.94,5.004062500000001,2.43,2.642666666666666,-1.99,3.6583870967741934,1.61,7.767931034482758,3.62,5.042903225806451,2.01,8.623870967741935,4.75,5.327187500000001,1.4773076923076924,9.406875000000003,5.664615384615386,4.1284374999999995,0.6353846153846153,7.203225806451614,3.734000000000001,5.330344827586206,2.14
--DIVISIONAL DATA------->,0.75,-1.98,4.87,2.2,1.87,-1.17,3.61,1.47,6.74,5.78,6.09,-0.07,7.71,3.77,5.67,2.4,12.08,8.0,3.6,-0.07,7.61,4.37,5.3,2.69
UPPER SOUTHERN  04,1.08,-2.2,5.46,0.73,2.01,-1.44,5.27,0.45,8.06,4.3,6.22,2.78,9.8,5.21,6.26,2.4,11.76,7.59,3.76,-0.08,9.06,5.44,5.36,2.58
ANNAPOLIS US NAVAL ACADEMY ASO,0.94,-1.94,4.8,3.2,2.69,-1.43,4.69,-0.13,9.27,3.55,3.2,1.68,10.2,5.58,6.45,3.06,10.47,6.38,2.12,-0.93,7.83,4.86,6.1,2.16
BALTIMORE-WASHINGTON INTL AP,0.89,-2.55,3.63,2.46,2.28,-1.73,3.96,0.33,8.58,3.38,6.86,1.73,8.46,4.14,5.04,1.63,11.18,7.42,3.3,-0.49,8.05,4.58,5.78,2.44
BALTIMORE WASHINGTON INTL CLIM,1.08,-0.9531999999999999,6.13,1.9808000000000001,2.35,-1.318,3.27,0.16079999999999997,7.91,3.6583333333333337,6.04,1.4656,7.25,2.9,5.78,2.16,7.63,3.5,4.08,0.36,8.31,4.71,5.43,1.8124
BELTSVILLE,1.0,-0.9531999999999999,5.38,1.9808000000000001,2.29,-1.318,3.67,0.16079999999999997,7.82,3.6583333333333337,5.39,1.4656,9.86,5.72,5.94,1.99,10.39,6.21,3.16,-0.32,7.91,4.53,5.83,1.8124
DALECARLIA RSVR,1.96,-1.69,8.93,5.91,2.6,-1.52,2.32,-1.07,6.38,2.23,2.97,-0.97,7.86,4.75,4.19,1.4773076923076924,6.46,5.664615384615386,4.83,0.6353846153846153,7.65,3.734000000000001,6.15,2.52
MARYLAND SCI CTR,1.35,-1.98,6.45,2.29,2.642666666666666,-0.41,3.6583870967741934,-0.5,7.767931034482758,4.32,5.042903225806451,0.59,8.623870967741935,4.75,5.327187500000001,1.4773076923076924,9.406875000000003,5.664615384615386,4.1284374999999995,0.6353846153846153,7.203225806451614,3.734000000000001,5.330344827586206,2.52
NATL ARBORETUM DC,1.96,-0.87,8.93,2.23,2.6,-1.36,2.32,-0.13,6.38,2.27,2.97,0.2,7.86,3.81,4.19,0.33,6.46,2.18,4.83,1.46,7.65,4.38,6.15,1.04
