Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.3575862068965523,-0.88,1.73,-1.86,3.95,-0.31,2.03,-1.22,2.7360714285714285,-2.17,1.98,-0.87,5.08,1.46,9.67,5.49,3.99,0.29,2.01,-1.29,2.43,-0.73,1.18,-2.03
SOUTHERN EASTERN SHORE  01,2.3575862068965523,-1.08,2.1530000000000005,-0.9576190476190476,5.198666666666666,1.0861904761904762,4.873333333333334,0.9694736842105264,2.7360714285714285,-2.19,2.126923076923077,-1.777222222222222,3.301153846153846,-0.808,10.42,5.565789473684211,3.51,5.291666666666667,3.7389285714285707,0.19823529411764707,3.355862068965518,-0.052380952380952375,3.7923333333333336,0.23636363636363633
ASSATEAGUE,3.14,-1.1878947368421053,1.17,-2.24,3.58,-1.09,1.39,-1.85,1.47,-1.5316666666666667,1.73,-1.7,3.78,-0.7,11.52,6.12,3.12,-0.63,2.42,0.19823529411764707,2.33,-0.98,1.49,-1.92
PRINCESS ANNE,3.01,-0.92,1.71,-1.85,3.53,-1.09,1.66,-1.75,1.68,-2.04,1.19,-2.38,3.77,-0.77,11.75,6.76,4.75,1.02,2.0,-1.64,2.31,-0.99,1.69,-2.03
SNOW HILL 4 N,2.3575862068965523,-1.82,2.1530000000000005,-0.9576190476190476,5.198666666666666,1.0861904761904762,4.873333333333334,0.9694736842105264,2.7360714285714285,-1.5316666666666667,2.126923076923077,-1.777222222222222,3.301153846153846,-0.808,9.292500000000002,5.565789473684211,9.185714285714285,5.291666666666667,3.7389285714285707,0.19823529411764707,3.355862068965518,-0.052380952380952375,3.7923333333333336,0.23636363636363633
SALISBURY FAA AP,3.08,-1.69,1.54,-1.88,3.69,-0.79,1.69,-1.57,1.58,-1.5316666666666667,1.63,-1.75,4.21,-0.1,10.98,6.24,3.95,0.19,2.01,-1.36,2.36,-0.82,1.45,-1.95
SALISBURY 2N,2.29,-0.72,2.4,-0.95,5.72,1.28,4.873333333333334,0.9694736842105264,2.7360714285714285,-1.35,2.126923076923077,-1.777222222222222,3.13,-1.09,9.292500000000002,5.565789473684211,9.185714285714285,5.291666666666667,2.44,-1.02,3.95,0.52,4.17,0.5
--DIVISIONAL DATA------->,2.29,-1.1878947368421053,2.4,-0.91,5.72,1.43,4.873333333333334,0.9694736842105264,2.7360714285714285,-1.5316666666666667,2.126923076923077,-1.777222222222222,3.13,-1.06,9.292500000000002,5.565789473684211,9.185714285714285,5.291666666666667,2.44,-0.8,3.95,0.66,4.17,0.68
CENTRAL EASTERN SHORE  02,3.27,-0.45,1.13,-2.24,6.07,1.44,3.74,0.25,2.87,-1.0,1.22,-3.05,4.11,-0.37,12.55,8.61,8.47,5.291666666666667,3.05,0.19823529411764707,3.74,0.31,4.66,1.26
ROYAL OAK 2 SSW,1.99,-0.81,0.92,-0.9576190476190476,5.94,1.0861904761904762,3.84,0.9694736842105264,3.41,-1.47,8.0,-1.777222222222222,4.02,-0.808,11.16,5.565789473684211,5.11,5.291666666666667,0.77,0.19823529411764707,3.3,-0.052380952380952375,2.69,0.23636363636363633
--DIVISIONAL DATA------->,3.27,-1.31,1.13,-1.89,6.01,1.7,3.74,0.54,3.14,-2.02,4.61,0.83,4.07,-0.15,12.55,8.42,9.185714285714285,5.291666666666667,3.7389285714285707,0.19823529411764707,3.52,0.25,3.68,0.37
LOWER SOUTHERN  03,2.66,-2.04,2.69,-0.33,4.99,1.06,3.52,0.52,2.42,-1.81,3.51,0.08,2.77,-1.08,10.38,6.64,13.32,9.34,3.31,0.15,2.45,-0.67,4.5,1.15
MECHANICSVILLE 5 NE,2.12,-1.1878947368421053,1.9,-0.79,4.74,0.87,3.49,0.16,2.52,-1.5316666666666667,2.79,-0.8,2.78,-1.31,12.45,8.76,9.8,5.45,4.42,0.86,1.95,-1.37,4.75,1.45
SOLOMONS,1.44,-1.1878947368421053,1.8,-1.21,6.62,2.49,3.59,0.05,2.61,-1.5316666666666667,1.19,-2.5,2.58,-1.68,7.49,3.51,10.17,5.87,3.89,0.41,2.05,-1.36,4.46,1.05
--DIVISIONAL DATA------->,2.3575862068965523,-1.1878947368421053,2.1530000000000005,-0.9576190476190476,5.198666666666666,1.0861904761904762,4.873333333333334,0.9694736842105264,2.7360714285714285,-1.5316666666666667,2.126923076923077,-1.777222222222222,3.301153846153846,-0.808,11.43,7.82,10.87,6.34,4.26,0.64,2.61,-1.37,3.87,0.21
UPPER SOUTHERN  04,2.06,-1.1878947368421053,2.58,-0.9576190476190476,5.26,1.0861904761904762,4.15,0.9694736842105264,2.06,-2.14,1.04,-1.777222222222222,4.06,-0.808,11.97,5.565789473684211,10.73,5.291666666666667,2.67,0.19823529411764707,3.09,-0.052380952380952375,4.39,0.23636363636363633
