Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.1,-2.24,0.52,-3.07,4.37,0.11,0.0,2.6,3.0,-0.6,5.43,2.58,5.67,2.05,0.0,4.24,11.08,7.38,6.19,2.89,8.28,5.12,9.08,5.87
SOUTHERN EASTERN,0.0,0.0,0.0,0.0,2.85,0.0,5.83,1.71,0.0,0.0,3.95,0.82,2.76,-1.51,9.08,5.11,4.58,0.66,2.13,-1.18,5.33,2.17,8.56,5.42
SHORE              01,1.91,-2.11,0.37,-3.08,2.53,-2.02,5.05,1.03,4.65,0.98,8.77,5.15,2.77,-1.77,9.83,0.74,4.92,0.93,4.19,0.76,5.98,2.81,8.33,4.86
ASSATEAGUE               ,1.17,-2.92,0.24,-3.32,1.43,-3.19,4.44,2.89,5.18,1.31,6.57,3.0,1.88,-2.66,5.73,4.18,4.39,0.66,3.7,0.06,5.14,1.84,4.53,0.81
PRINCESS ANNE            ,1.78,-2.24,0.37,-3.04,2.9,-1.77,6.13,2.1,5.51,1.87,4.12,0.69,1.97,-2.51,9.58,3.82,6.27,2.52,6.57,3.15,8.3,4.99,9.11,5.7
SALISBURY                ,1.74,-2.26,0.38,-3.04,2.81,-1.67,5.36,2.57,4.59,0.97,5.77,2.39,3.01,-1.3,8.56,4.96,6.25,2.49,4.56,1.19,6.61,3.43,7.92,4.52
SALISBURY FAA AP         ,2.53,-1.58,0.33,-3.02,3.22,-1.22,6.07,1.12,6.64,2.51,5.04,1.57,2.31,-1.91,9.06,0.0,4.96,0.97,7.59,4.13,6.69,3.26,8.58,0.0
SNOW HILL 4 N            ,1.76,-1.98,0.66,-2.67,2.12,0.0,4.45,1.87,5.48,1.96,6.79,3.07,1.05,-2.81,0.0,4.8,3.04,-0.48,0.0,0.0,0.0,0.0,0.0,0.0
--DIVISIONAL DATA------->,2.15,-1.83,0.5,-2.81,3.22,-1.07,5.26,1.44,6.06,2.15,5.92,2.37,1.68,-2.51,9.06,2.55,4.0,0.18,7.59,4.35,6.69,3.4,0.0,0.0
CENTRAL EASTERN,2.39,-1.6,0.35,-3.02,3.19,-1.44,4.93,0.0,4.65,0.43,4.38,0.11,2.22,-2.26,6.49,0.0,3.65,-0.73,6.92,3.0,6.91,3.48,10.05,6.65
