Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,3.1553124999999995,0.44,0.9809375,-2.14,3.6621875,-0.11,3.4196874999999998,-0.99,5.855000000000001,0.96,1.8624242424242428,-1.84,7.741290322580645,4.23,6.086969696969699,0.82,1.9918181818181815,-0.94,3.7940625,1.92,1.9606666666666661,-1.48,0.8877777777777779,-2.57
SOUTHERN EASTERN SHORE  01,4.02,-0.15239999999999992,0.77,-1.9292000000000002,4.25,-0.3460000000000001,2.51,-0.10560000000000008,4.54,1.7776000000000003,1.69,-1.8244,8.56,3.877500000000001,5.48,2.1868,2.9,-2.1524000000000005,5.22,0.27959999999999996,1.9606666666666661,-1.66,0.8877777777777779,-2.547391304347826
ASSATEAGUE,4.5,-0.26,1.0,-1.9,5.3,0.21,2.6,-1.53,6.43,1.46,2.52,-1.72,9.83,6.93,12.77,7.8,2.02,-1.93,4.01,0.45,1.9606666666666661,-1.27,0.8877777777777779,-2.26
PRINCESS ANNE,3.35,0.03,1.45,-1.79,4.63,-1.0,2.02,-1.16,5.08,0.75,1.99,-2.52,11.31,3.877500000000001,12.23,1.95,2.05,-2.92,3.94,1.69,1.95,-1.58,1.14,-3.11
SALISBURY 2N,3.6,-0.18,1.35,-2.15,3.52,0.0,2.32,-0.95,4.27,1.64,0.95,-1.56,7.741290322580645,6.26,6.85,5.88,1.48,-1.91,5.22,1.02,1.86,-1.22,0.8877777777777779,-2.86
SALISBURY FAA AP  //,3.82,-0.67,1.27,-2.51,4.48,0.33,2.31,-2.16,5.26,1.85,1.82,-1.93,10.57,4.06,10.62,3.55,1.85,-2.52,4.39,-0.86,1.91,-1.38,1.14,-3.14
SNOW HILL 4 N,2.93,-1.05,0.62,-2.69,4.69,0.4,1.7,-1.69,6.04,2.13,1.93,-1.62,8.43,4.24,7.82,3.56,1.49,-2.33,2.86,-0.38,2.07,-1.5154166666666666,0.63,-2.547391304347826
--DIVISIONAL DATA------->,2.93,-0.1,0.62,-2.67,4.69,-1.05,1.7,-0.02,6.04,2.53,1.93,-1.57,8.43,2.7,7.82,5.41,1.49,-3.1,2.86,-0.89,2.07,-1.18,0.63,-2.75
CENTRAL EASTERN SHORE  02,3.13,-0.15239999999999992,0.41,-1.9292000000000002,3.16,-0.3460000000000001,3.48,-0.10560000000000008,6.73,1.7776000000000003,2.5,-1.8244,7.01,3.877500000000001,9.29,2.1868,1.18,-2.1524000000000005,2.81,0.27959999999999996,2.21,-1.15,0.56,-2.42
ROYAL OAK 2 SSW,2.48,-0.91,1.27,-2.18,4.46,-0.5,2.21,0.28,4.78,2.59,0.52,-1.28,7.741290322580645,2.79,5.46,5.16,1.66,-2.99,3.58,-0.67,1.97,-1.5154166666666666,0.8877777777777779,-2.547391304347826
